classe;survie;nom;sexe;age;tarif
1;1;Allen, Miss. Elisabeth Walton;2;29;211
1;1;Allison, Master. Hudson Trevor;1;1;152
1;0;Allison, Miss. Helen Loraine;2;2;152
1;0;Allison, Mr. Hudson Joshua Creighton;1;30;152
1;0;Allison, Mrs. Hudson Bessie Waldo Daniels;2;25;152
1;1;Anderson, Mr. Harry;1;48;27
1;1;Andrews, Miss. Kornelia Theodosia;2;63;78
1;0;Andrews, Mr. Thomas Jr;1;39;0
1;1;Appleton, Mrs. Edward Dale (Charlotte Lamson);2;53;51
1;0;Artagaveytia, Mr. Ramon;1;71;50
1;0;Astor, Col. John Jacob;1;47;228
1;1;Astor, Mrs. John Jacob (Madeleine Talmadge Force);2;18;228
1;1;Aubart, Mme. Leontine Pauline;2;24;69
1;1;"Barber, Miss. Ellen ""Nellie""";2;26;79
1;1;Barkworth, Mr. Algernon Henry Wilson;1;80;30
1;0;Baumann, Mr. John D;1;;26
1;0;Baxter, Mr. Quigg Edmond;1;24;248
1;1;Baxter, Mrs. James (Helene DeLaudeniere Chaput);2;50;248
1;1;Bazzani, Miss. Albina;2;32;76
1;0;Beattie, Mr. Thomson;1;36;75
1;1;Beckwith, Mr. Richard Leonard;1;37;53
1;1;Beckwith, Mrs. Richard Leonard (Sallie Monypeny);2;47;53
1;1;Behr, Mr. Karl Howell;1;26;30
1;1;Bidois, Miss. Rosalie;2;42;228
1;1;Bird, Miss. Ellen;2;29;222
1;0;Birnbaum, Mr. Jakob;1;25;26
1;1;Bishop, Mr. Dickinson H;1;25;91
1;1;Bishop, Mrs. Dickinson Helen Walton;2;19;91
1;1;Bissette, Miss. Amelia;2;35;136
1;1;Bjornstrom-Steffansson, Mr. Mauritz Hakan;1;28;27
1;0;Blackwell, Mr. Stephen Weart;1;45;36
1;1;Blank, Mr. Henry;1;40;31
1;1;Bonnell, Miss. Caroline;2;30;165
1;1;Bonnell, Miss. Elizabeth;2;58;27
1;0;Borebank, Mr. John James;1;42;27
1;1;Bowen, Miss. Grace Scott;2;45;262
1;1;Bowerman, Miss. Elsie Edith;2;22;55
1;1;"Bradley, Mr. George (""George Arthur Brayton"")";1;;27
1;0;Brady, Mr. John Bertram;1;41;31
1;0;Brandeis, Mr. Emil;1;48;50
1;0;Brewe, Dr. Arthur Jackson;1;;40
1;1;Brown, Mrs. James Joseph (Margaret Tobin);2;44;28
1;1;Brown, Mrs. John Murray (Caroline Lane Lamson);2;59;51
1;1;Bucknell, Mrs. William Robert (Emma Eliza Ward);2;60;76
1;1;Burns, Miss. Elizabeth Margaret;2;41;135
1;0;Butt, Major. Archibald Willingham;1;45;27
1;0;Cairns, Mr. Alexander;1;;31
1;1;Calderhead, Mr. Edward Pennington;1;42;26
1;1;Candee, Mrs. Edward (Helen Churchill Hungerford);2;53;27
1;1;Cardeza, Mr. Thomas Drake Martinez;1;36;512
1;1;Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake);2;58;512
1;0;Carlsson, Mr. Frans Olof;1;33;5
1;0;Carrau, Mr. Francisco M;1;28;47
1;0;Carrau, Mr. Jose Pedro;1;17;47
1;1;Carter, Master. William Thornton II;1;11;120
1;1;Carter, Miss. Lucile Polk;2;14;120
1;1;Carter, Mr. William Ernest;1;36;120
1;1;Carter, Mrs. William Ernest (Lucile Polk);2;36;120
1;0;Case, Mr. Howard Brown;1;49;26
